1	One Day	Kodaline	In a Perfect World	Kodaline	2013	4:15
2	All I Want	Kodaline	In a Perfect World	Kodaline	2013	5:05
3	Love Like This	Kodaline	In a Perfect World	Kodaline	2013	3:36
4	High Hopes	Kodaline	In a Perfect World	Kodaline	2013	3:50
5	Brand New Day	Kodaline	In a Perfect World	Kodaline	2013	3:25
6	After The Fall	Kodaline	In a Perfect World	Kodaline	2013	3:35
7	Big Bad World	Kodaline	In a Perfect World	Kodaline	2013	4:21
8	All Comes Down	Kodaline	In a Perfect World	Kodaline	2013	4:55
9	Talk	Kodaline	In a Perfect World	Kodaline	2013	4:28
10	Pray	Kodaline	In a Perfect World	Kodaline	2013	3:33
11	Way Back When	Kodaline	In a Perfect World	Kodaline	2013	3:26
1	Blow Your Mind (Mwah)	Dua Lipa	The Only	Dua Lipa	2017	2:58
2	For Julian	Dua Lipa	The Only	Dua Lipa	2017	3:36
3	Hotter Than Hell	Dua Lipa	The Only	Dua Lipa	2017	3:07
4	Be the One	Dua Lipa	The Only	Dua Lipa	2017	3:23
5	New Love	Dua Lipa	The Only	Dua Lipa	2017	3:59
1	Dreamin (feat. blackbear)	The Score	Pressure	The Score	2019	3:18
2	Stronger	The Score	Pressure	The Score	2019	3:10
3	Under The Pressure	The Score	Pressure	The Score	2019	3:27
4	Born for This	The Score	Pressure	The Score	2019	3:53
5	The Fear	The Score	Pressure	The Score	2019	3:03
6	Glory	The Score	Pressure	The Score	2019	2:46
1	Thank You	MKTO	MKTO	MKTO	2014	3:49
2	Classic	MKTO	MKTO	MKTO	2014	2:55
3	God Only Knows	MKTO	MKTO	MKTO	2014	3:15
4	American Dream	MKTO	MKTO	MKTO	2014	3:45
5	Could Be Me (featuring Ne-Yo)	MKTO	MKTO	MKTO	2014	3:30
6	Forever Until Tomorrow	MKTO	MKTO	MKTO	2014	3:46
7	Wasted	MKTO	MKTO	MKTO	2014	3:04
8	Heartbreak Holiday	MKTO	MKTO	MKTO	2014	3:39
9	Nowhere	MKTO	MKTO	MKTO	2014	3:10
10	No More Second Chances (featuring Jessica Ashley)	MKTO	MKTO	MKTO	2014	3:18
11	Goodbye Song	MKTO	MKTO	MKTO	2014	3:51
1	Electric Love	BØRNS	Candy	BØRNS	2014	3:38
2	10,000 Emerald Pools	BØRNS	Candy	BØRNS	2014	2:56
3	Past Lives	BØRNS	Candy	BØRNS	2014	4:32
4	Seeing Stars	BØRNS	Candy	BØRNS	2014	3:09
1	If We Have Each Other	Alec Benjamin	Narrated for You	Alec Benjamin	2018	3:01
2	Water Fountain	Alec Benjamin	Narrated for You	Alec Benjamin	2018	3:38
3	Annabelle's Homework	Alec Benjamin	Narrated for You	Alec Benjamin	2018	3:12
4	Let Me Down Slowly	Alec Benjamin	Narrated for You	Alec Benjamin	2018	2:49
5	Swim	Alec Benjamin	Narrated for You	Alec Benjamin	2018	2:24
6	Boy in the Bubble	Alec Benjamin	Narrated for You	Alec Benjamin	2018	3:01
7	Steve	Alec Benjamin	Narrated for You	Alec Benjamin	2018	2:53
8	Gotta Be a Reason	Alec Benjamin	Narrated for You	Alec Benjamin	2018	3:30
9	Outrunning Karma	Alec Benjamin	Narrated for You	Alec Benjamin	2018	3:08
10	If I Killed Someone for You	Alec Benjamin	Narrated for You	Alec Benjamin	2018	3:05
11	Death of a Hero	Alec Benjamin	Narrated for You	Alec Benjamin	2018	3:11
12	1994	Alec Benjamin	Narrated for You	Alec Benjamin	2018	3:04
